name,affiliation,country,dept,year,homepage
Heping Shen ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/heping-shen/
Hongdong Li ,Australian National University,australasia,robotics,2016,http://users.cecs.anu.edu.au/~hongdong/
Igor Skryabin ,Australian National University,australasia,#N/A,#N/A,http://energy.anu.edu.au/about-us/participants/igor-skryabin/
Ijaz Akhter ,Australian National University,australasia,mlmining,2008,https://cecs.anu.edu.au/people/ijaz-akhter/
Jeremy Dawson ,Australian National University,australasia,#N/A,#N/A,http://users.cecs.anu.edu.au/~jeremy/
Jeremy E. Dawson ,Australian National University,australasia,#N/A,#N/A,http://users.cecs.anu.edu.au/~jeremy/
Jie Cui ,Australian National University,australasia,#N/A,#N/A,https://researchers.anu.edu.au/researchers/cui-j/
Jochen Renz ,Australian National University,australasia,ai,1999,http://users.cecs.anu.edu.au/~jrenz/
Jochen Trumpf ,Australian National University,australasia,robotics,2009,http://users.cecs.anu.edu.au/~trumpf/
John A. Richards ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/john-richards/
John K. Slaney ,Australian National University,australasia,ai,1991,https://cs.anu.edu.au/people/john-slaney/
John Lloyd ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/john-lloyd/
John Pye ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/john-pye/
John Slaney ,Australian National University,australasia,#N/A,#N/A,http://users.cecs.anu.edu.au/~jks/
John W. Lloyd ,Australian National University,australasia,ai,1983,https://cs.anu.edu.au/people/john-lloyd/
Jonghyuk Kim ,Australian National University,australasia,robotics,2008,https://researchers.anu.edu.au/researchers/kim-j/
Joseph S. Coventry ,Australian National University,australasia,#N/A,#N/A,https://researchers.anu.edu.au/researchers/coventry-js/
Junming Wei ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/junming-jamie-wei/
Kate Booker ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/kate-booker/
Kean Chern Fong ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/kean-chern-fong/
Klaus Weber ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/klaus-weber/
Kun Cai ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/kun-cai/
Kylie Catchpole ,Australian National University,australasia,#N/A,#N/A,https://researchers.anu.edu.au/researchers/catchpole-kr/
Laurent Kneip ,Australian National University,australasia,robotics,2009,https://cecs.anu.edu.au/people/laurent-kneip/
Lexing Xie ,Australian National University,australasia,ai,2016,https://cs.anu.edu.au/people/lexing-xie/
Lynette Johns-Boast ,Australian National University,australasia,#N/A,#N/A,https://researchers.anu.edu.au/researchers/johns-boast-l/
Mahesh Venkataraman ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/mahesh-venkataraman/
Marco Ernst ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/marco-ernst/
Marcus Hutter ,Australian National University,australasia,ai,2010,https://cs.anu.edu.au/people/marcus-hutter/
Marian-Andrei Rizoiu ,Australian National University,australasia,ai,2011,https://cs.anu.edu.au/people/marian-andrei-rizoiu-0/
Mark D. Reid ,Australian National University,australasia,mlmining,2000,http://mark.reid.name/work/
Mark Reid ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/mark-reid/
Matt Stocks ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/matt-stocks/
Matthew Doolan ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/matt-doolan/
Matthew R. James ,Australian National University,australasia,robotics,1996,https://cecs.anu.edu.au/people/matt-james/
Michael Dennis ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/mike-dennis/
Nan Yang ,Australian National University,australasia,ai,2015,https://cecs.anu.edu.au/people/nan-yang/
Neda Aboutorab ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/neda-aboutorab/
Parastoo Sadeghi ,Australian National University,australasia,vision,2007,http://users.cecs.anu.edu.au/~parastoo/
Patrik Haslum ,Australian National University,australasia,ai,2005,https://cs.anu.edu.au/people/patrik-haslum/
Paul Compston ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/paul-compston/
Peter Christen ,Australian National University,australasia,ir,2012,https://cs.anu.edu.au/people/peter-christen/
Peter E. Strazdins ,Australian National University,australasia,arch,1989,http://users.cecs.anu.edu.au/~peter/
Peter Kreider ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/peter-kreider/
Peter Strazdins ,Australian National University,australasia,#N/A,#N/A,http://users.cecs.anu.edu.au/~peter/
Pheng Phang ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/pheng-phang/
Prasanga N. Samarasinghe ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/prasanga-samarasinghe/
Qing Wang ,Australian National University,australasia,ai,2011,http://users.cecs.anu.edu.au/~u5170295/
Qing-Hua Qin ,Australian National University,australasia,#N/A,#N/A,http://users.cecs.anu.edu.au/~Qinghua.Qin/
Rajeev GorÌ© ,Australian National University,australasia,da,1989,https://cs.anu.edu.au/people/rajeev-gore/
